file_name,total_chunks,average_chunk_length
抗震1-150.md,201,1146.83
抗震151-289.md,187,1127.5
混规1-150.md,154,1143.79
混规151-300.md,131,1391.53
混规301-441.md,130,947.53
钢标1-150.md,170,1251.28
钢标151-300.md,188,1532.1
钢标301-410.md,153,1209.62
抗震1-150.md,201,1146.83
抗震151-289.md,187,1127.5
混规1-150.md,154,1143.79
混规151-300.md,131,1391.53
混规301-441.md,130,947.53
钢标1-150.md,170,1251.28
钢标151-300.md,188,1532.1
钢标301-410.md,153,1209.62
抗震1-150.md,201,1146.83
抗震151-289.md,187,1127.5
混规1-150.md,154,1143.79
混规151-300.md,131,1391.53
混规301-441.md,130,947.53
钢标1-150.md,170,1251.28
钢标151-300.md,188,1532.1
钢标301-410.md,153,1209.62
